name,gene,NT1,NT2,NT3,NaP1,NaP2,NaP3
ENSB:re9FAzs5WW40boh,ENSB:re9FAzs5WW40boh,34,22,22,31,34,36
ENSB:YVrDRNQU09-jfsD,ENSB:YVrDRNQU09-jfsD,2215,2227,2831,889,1007,907
ENSB:mIHH6beYKyx6oaL,ENSB:mIHH6beYKyx6oaL,271,249,424,87,95,80
ENSB:W75EbzOIEczOYRs,ENSB:W75EbzOIEczOYRs,63,60,40,206,188,202
ENSB:JfMmUfRJ5dj1FWC,ENSB:JfMmUfRJ5dj1FWC,2,5,4,3,2,0
ENSB:zsjLISApkwLlmZu,ENSB:zsjLISApkwLlmZu,0,5,2,0,6,2
ENSB:t60h7jZn1HeXmzv,ENSB:t60h7jZn1HeXmzv,0,0,2,2,0,0
ENSB:-h-AEgIcnjy-dN9,ENSB:-h-AEgIcnjy-dN9,0,4,6,4,0,0
ENSB:KViR3LuhwB84ih1,ENSB:KViR3LuhwB84ih1,42,36,30,56,48,41
ENSB:3Y0fAO3BmKlhFnc,ENSB:3Y0fAO3BmKlhFnc,48,38,49,30,33,24
ENSB:8JGP1Byo5eS3uwb,ENSB:8JGP1Byo5eS3uwb,219,191,212,75,82,58
ENSB:ZbaHe_voTMRQ9C9,ENSB:ZbaHe_voTMRQ9C9,81,78,70,32,32,26
ENSB:i9RzM6wvM6jCu6Z,ENSB:i9RzM6wvM6jCu6Z,329,257,297,73,96,76
ENSB:fimVqDt0I5IK5Gv,ENSB:fimVqDt0I5IK5Gv,160,118,150,47,38,54
ENSB:RXQ4gtBr3JuAU7g,ENSB:RXQ4gtBr3JuAU7g,72,92,110,30,46,30
ENSB:ruqYF3K_VNNC71x,ENSB:ruqYF3K_VNNC71x,54,36,79,19,6,7
ENSB:PVCVFQ79-5yUHe9,ENSB:PVCVFQ79-5yUHe9,2,0,2,0,4,4
ENSB:LBGZwA4ELBe0BUm,ENSB:LBGZwA4ELBe0BUm,6,14,18,2,6,11
ENSB:tImVcf3Xrys3Usu,ENSB:tImVcf3Xrys3Usu,10,9,2,9,8,18
ENSB:_IZNcrPK0cExCWr,ENSB:_IZNcrPK0cExCWr,6,4,2,10,4,6
ENSB:rQH504d2QqArsqz,ENSB:rQH504d2QqArsqz,2,2,8,13,9,9
ENSB:6RHGYt8ETKwdtpU,ENSB:6RHGYt8ETKwdtpU,30,17,19,8,12,8
ENSB:-oBR1pq8LP_fBq5,ENSB:-oBR1pq8LP_fBq5,4,2,0,0,2,0
ENSB:4ZUPzJjPhlocb4-,ENSB:4ZUPzJjPhlocb4-,0,2,0,0,2,0
ENSB:YUfA1raXHJZVnVF,ENSB:YUfA1raXHJZVnVF,6,7,18,7,3,2
ENSB:npIHVdoTRUje9wc,ENSB:npIHVdoTRUje9wc,10,6,6,6,8,2
ENSB:at6090Te8Lz6ZAQ,ENSB:at6090Te8Lz6ZAQ,0,0,0,0,0,6
ENSB:ieas3Xf6ZZoqciH,ENSB:ieas3Xf6ZZoqciH,6,10,6,14,14,18
ENSB:5aYfWSbqB9b8w2g,ENSB:5aYfWSbqB9b8w2g,2,0,0,0,10,10
ENSB:ewxnSKoBQa1IMBk,ENSB:ewxnSKoBQa1IMBk,0,0,0,0,0,0
ENSB:yYy7t0qFF2k8tX0,ENSB:yYy7t0qFF2k8tX0,34,23,12,23,32,17
ENSB:Oj3kKcpJHpjtHgK,ENSB:Oj3kKcpJHpjtHgK,85,90,121,112,94,75
ENSB:w-V6JK0paErDkXD,ENSB:w-V6JK0paErDkXD,67,74,99,61,71,62
ENSB:K6vN81SWmSdFqMq,ENSB:K6vN81SWmSdFqMq,200,203,185,106,92,103
ENSB:JFGFiP3dPXoQMZN,ENSB:JFGFiP3dPXoQMZN,161,182,169,69,81,47
ENSB:EWoh_bgoIanK1TF,ENSB:EWoh_bgoIanK1TF,142,176,165,69,59,58
ENSB:9NLozxwPafOj-vJ,ENSB:9NLozxwPafOj-vJ,2,2,0,0,0,0
ENSB:YbZDj_AlL-d5uqp,ENSB:YbZDj_AlL-d5uqp,13,10,27,78,50,60
ENSB:Q9BaaghLzIgXhd1,ENSB:Q9BaaghLzIgXhd1,20,12,18,12,2,4
ENSB:0UM2ShGcbw72uCC,ENSB:0UM2ShGcbw72uCC,6,6,6,6,8,6
ENSB:959Z9sqfwC4u6bn,ENSB:959Z9sqfwC4u6bn,2,2,2,4,2,2
ENSB:Unr3Z9tsC12I80C,ENSB:Unr3Z9tsC12I80C,2301,2535,2852,788,812,854
ENSB:3p8qA4_OwyLXiHs,ENSB:3p8qA4_OwyLXiHs,1347,1491,1828,520,534,568
ENSB:BWNNwsBTcEm8u1I,ENSB:BWNNwsBTcEm8u1I,0,2,4,2,2,3
ENSB:sB4jf4U8dUoSpmV,ENSB:sB4jf4U8dUoSpmV,2,4,0,0,2,2
ENSB:gSMhWKbuDAmUezI,ENSB:gSMhWKbuDAmUezI,2,2,0,0,0,0
ENSB:4nYxWB4su1zxTbN,ENSB:4nYxWB4su1zxTbN,13,14,14,22,30,34
ENSB:tDkCK4Syn9JLLPS,ENSB:tDkCK4Syn9JLLPS,10,23,14,41,26,24
ENSB:W6Trq4m52u9iQy-,ENSB:W6Trq4m52u9iQy-,10,6,8,27,39,18
ENSB:n3ySwg2hUzJQaVm,ENSB:n3ySwg2hUzJQaVm,42,30,12,58,123,88
ENSB:PdCwOD8kuvltgOp,ENSB:PdCwOD8kuvltgOp,80,76,79,204,348,288
ENSB:WvQhFHY0P89nHOn,ENSB:WvQhFHY0P89nHOn,2,6,8,0,2,6
ENSB:G1MLmai9vXSCCHy,ENSB:G1MLmai9vXSCCHy,4,4,12,8,16,12
ENSB:66uAMe4P_x_aqYP,ENSB:66uAMe4P_x_aqYP,0,0,2,0,2,2
ENSB:oNt2Q4zaleFLc_x,ENSB:oNt2Q4zaleFLc_x,1,13,7,20,6,7
ENSB:lwaIA52btR9S95E,ENSB:lwaIA52btR9S95E,62,66,70,152,126,155
ENSB:hDBK4lAXqD_NU7I,ENSB:hDBK4lAXqD_NU7I,13237,13506,10160,9601,9009,9159
ENSB:lNaGFepmChhFMri,ENSB:lNaGFepmChhFMri,21,39,30,14,22,14
ENSB:u8U1EkTALiQ1VtM,ENSB:u8U1EkTALiQ1VtM,4,0,2,0,0,0
ENSB:K-90diKiocE3tlq,ENSB:K-90diKiocE3tlq,0,0,0,0,0,0
ENSB:ahhJtWN8OFqEgel,ENSB:ahhJtWN8OFqEgel,0,0,0,2,2,0
